iter	MultiClass
0	1.384011927
1	1.381327273
2	1.378015967
3	1.375516452
4	1.372905749
5	1.370300519
6	1.368790514
7	1.366847571
8	1.363892002
9	1.361425967
10	1.358540784
11	1.355647989
12	1.353125164
13	1.350677394
14	1.347871486
15	1.346049402
16	1.342912475
17	1.340312853
18	1.337875114
19	1.335306595
20	1.332585811
21	1.329958816
22	1.327676604
23	1.324846009
24	1.32286757
25	1.320539756
26	1.318311458
27	1.316583865
28	1.314560152
29	1.312063561
30	1.309667171
31	1.307472049
32	1.304504924
33	1.302924562
34	1.300727244
35	1.298863715
36	1.29645255
37	1.293703404
38	1.291077969
39	1.28900054
40	1.286408517
41	1.283214195
42	1.281043936
43	1.279582316
44	1.277787094
45	1.275944334
46	1.273736556
47	1.271710896
48	1.269748469
49	1.267779389
50	1.265600328
51	1.263928633
52	1.262201803
53	1.260173802
54	1.257376051
55	1.253658161
56	1.251688331
57	1.249313062
58	1.246331818
59	1.244367506
60	1.242018376
61	1.240102263
62	1.238368211
63	1.235359674
64	1.23370167
65	1.231739646
66	1.229666437
67	1.227756342
68	1.225884486
69	1.223785211
70	1.221932158
71	1.220167678
72	1.218220854
73	1.215860676
74	1.214290645
75	1.212357107
76	1.210456846
77	1.208259092
78	1.206538559
79	1.204752088
80	1.202960032
81	1.200905794
82	1.199121028
83	1.196949251
84	1.194898911
85	1.192799423
86	1.190621748
87	1.188420084
88	1.186326216
89	1.184744252
90	1.182580375
91	1.180727934
92	1.17844885
93	1.176674827
94	1.174912294
95	1.172982094
96	1.171378576
97	1.169547704
98	1.167451764
99	1.165773285
100	1.164614892
101	1.162561064
102	1.160341604
103	1.158378248
104	1.156685469
105	1.154867828
106	1.153065818
107	1.151658919
108	1.149992638
109	1.148312203
110	1.146463991
111	1.144955099
112	1.143227697
113	1.141677658
114	1.139685652
115	1.137896369
116	1.13588726
117	1.133854738
118	1.132208531
119	1.130500834
120	1.128794894
121	1.127311956
122	1.125659716
123	1.123873258
124	1.122365616
125	1.120676351
126	1.119466218
127	1.117474363
128	1.115797178
129	1.114310677
130	1.112578335
131	1.111053204
132	1.108301852
133	1.106481882
134	1.104565221
135	1.103084238
136	1.101590132
137	1.099796296
138	1.098048347
139	1.096467328
140	1.09457345
141	1.092514723
142	1.090408928
143	1.088678811
144	1.087441788
145	1.085910136
146	1.084179536
147	1.08148276
148	1.07894744
149	1.076930187
150	1.075574641
151	1.074092649
152	1.072548261
153	1.070007653
154	1.068559774
155	1.066484167
156	1.064996428
157	1.063412346
158	1.061936984
159	1.059614388
160	1.057729128
161	1.05586885
162	1.05465257
163	1.05318889
164	1.052016971
165	1.050156389
166	1.048605407
167	1.047124501
168	1.045582909
169	1.044135891
170	1.042582893
171	1.041139745
172	1.039458293
173	1.038002338
174	1.036499773
175	1.034825423
176	1.032725884
177	1.031286473
178	1.02975375
179	1.027458378
180	1.025973155
181	1.024734611
182	1.023275672
183	1.021517117
184	1.020397434
185	1.018874461
186	1.017636065
187	1.016430288
188	1.01492033
189	1.013436983
190	1.011758343
191	1.010073896
192	1.009197771
193	1.007715129
194	1.006241025
195	1.004488171
196	1.003081671
197	1.001589003
198	1.000356018
199	0.9991613848
200	0.9978655917
201	0.9968774874
