iter	Passed	Remaining
0	75	53999
1	117	42059
2	151	36059
3	188	33623
4	220	31429
5	259	30852
6	298	30347
7	331	29498
8	367	28956
9	411	29200
10	448	28876
11	482	28402
12	518	28174
13	552	27810
14	587	27576
15	621	27316
16	673	27800
17	708	27596
18	748	27570
19	790	27619
20	820	27280
21	854	27085
22	892	27014
23	930	26951
24	968	26877
25	1007	26852
26	1046	26831
27	1086	26801
28	1130	26892
29	1168	26846
30	1211	26895
31	1260	27066
32	1303	27102
33	1344	27084
34	1383	27028
35	1422	26981
36	1462	26961
37	1500	26883
38	1539	26849
39	1575	26742
40	1612	26666
41	1649	26582
42	1682	26447
43	1718	26356
44	1755	26300
45	1795	26263
46	1838	26286
47	1879	26268
48	1914	26172
49	1951	26105
50	1990	26067
51	2025	25979
52	2064	25945
53	2110	25990
54	2149	25951
55	2189	25918
56	2229	25896
57	2267	25837
58	2306	25800
59	2349	25809
60	2393	25817
61	2427	25727
62	2463	25654
63	2499	25576
64	2534	25504
65	2573	25457
66	2612	25420
67	2650	25376
68	2689	25336
69	2729	25307
70	2768	25268
71	2806	25221
72	2847	25202
73	2887	25168
74	2926	25130
75	2978	25197
76	3009	25096
77	3047	25040
78	3080	24956
79	3118	24912
80	3159	24884
81	3199	24856
82	3236	24799
83	3273	24746
84	3313	24715
85	3354	24687
86	3398	24691
87	3437	24650
88	3477	24614
89	3514	24559
90	3562	24587
91	3605	24571
92	3636	24475
93	3675	24437
94	3711	24376
95	3759	24394
96	3795	24338
97	3826	24249
98	3876	24278
99	3919	24262
100	3955	24204
101	3998	24187
102	4037	24146
103	4075	24099
104	4115	24068
105	4157	24044
106	4202	24034
107	4247	24030
108	4282	23963
109	4320	23921
110	4356	23863
111	4395	23824
112	4438	23801
113	4474	23748
114	4525	23769
115	4558	23696
116	4588	23610
117	4630	23585
118	4670	23548
119	4710	23514
120	4747	23465
121	4790	23441
122	4827	23391
123	4865	23348
124	4903	23301
125	4943	23264
126	4979	23212
127	5018	23171
128	5059	23139
129	5094	23083
130	5137	23060
131	5177	23022
132	5218	22991
133	5257	22952
134	5298	22919
135	5339	22887
136	5383	22872
137	5430	22861
138	5466	22809
139	5503	22760
140	5538	22702
141	5587	22705
142	5630	22677
143	5663	22614
144	5703	22578
145	5748	22562
146	5785	22513
147	5828	22488
148	5867	22447
149	5907	22408
150	5949	22379
151	5988	22337
152	6030	22309
153	6069	22268
154	6109	22229
155	6152	22204
156	6193	22169
157	6230	22123
158	6268	22078
159	6307	22037
160	6343	21986
161	6385	21955
162	6423	21910
163	6464	21875
164	6505	21843
165	6541	21793
166	6582	21757
167	6624	21726
168	6671	21713
169	6722	21708
170	6762	21672
171	6795	21611
172	6834	21570
173	6871	21521
174	6913	21491
175	6955	21459
176	6995	21422
177	7028	21361
178	7058	21294
179	7098	21254
180	7143	21232
181	7180	21187
182	7217	21139
183	7255	21095
184	7297	21063
185	7337	21024
186	7376	20986
187	7414	20941
188	7453	20902
189	7492	20861
190	7531	20820
191	7569	20776
192	7610	20741
193	7649	20700
194	7686	20655
195	7729	20624
196	7768	20585
197	7810	20551
198	7849	20510
199	7890	20476
200	7937	20455
201	7977	20417
202	8013	20368
